date,volume,high,low,adj_close,close,open
2020-01-31,13530,10.2,10.15,10.18,10.18,10.15
2020-01-30,68885,10.2,10.15,10.18,10.18,10.15
2020-01-29,655,10.1755,10.15,10.15,10.15,10.16
2020-01-28,1255,10.2,10.15,10.18,10.18,10.15
2020-01-27,6639,10.19,10.15,10.18,10.18,10.16
2020-01-24,51314,10.2,10.15,10.2,10.2,10.19
2020-01-23,43224,10.2,10.19,10.19,10.19,10.2
2020-01-22,11031,10.25,10.17,10.17,10.17,10.25
2020-01-21,14078,10.2,10.16,10.19,10.19,10.2
2020-01-17,16659,10.3,10.18,10.19,10.19,10.3
2020-01-16,17191,10.39,10.2,10.2,10.2,10.39
2020-01-15,226237,10.25,10.17,10.2,10.2,10.17
2020-01-14,322270,10.2,10.14,10.18,10.18,10.2
2020-01-13,14120,10.5,10.14,10.14,10.14,10.14
2020-01-10,782300,10.14,10.12,10.13,10.13,10.12
2020-01-09,394534,10.12,10.08,10.12,10.12,10.08
2020-01-08,3791,10.08,9.99,9.99,9.99,10.05
2020-01-07,198844,10.08,10.04,10.08,10.08,10.04
2020-01-06,150261,10.05,10.03,10.05,10.05,10.03
2020-01-03,255787,10.06,10.03,10.03,10.03,10.03
