date,volume,high,low,adj_close,close,open
2020-01-31,471572,55.33,54.315,55.04,55.04,54.67
2020-01-30,254414,55.1,54.01,55.06,55.06,54.41
2020-01-29,186448,55.37,54.65,54.87,54.87,55.28
2020-01-28,401142,55.44,54.2,55.09,55.09,54.45
2020-01-27,151527,55.18,53.7877,54.37,54.37,54.19
2020-01-24,230563,56.21,55.17,55.21,55.21,56.21
2020-01-23,315818,58.4,56.12,56.18,56.18,58.26
2020-01-22,456898,59.04,58.21,58.4,58.4,58.81
2020-01-21,426336,59.41,58.295,58.64,58.64,59.08
2020-01-17,627487,60.725,59.05,59.13,59.13,60.36
2020-01-16,648050,60.36,58.46,60.3,60.3,58.7
2020-01-15,532573,58.83,56.99,58.32,58.32,58.13
2020-01-14,229584,58.52,57.8806,58.48,58.48,58.11
2020-01-13,186024,58.47,57.95,58.37,58.37,58.29
2020-01-10,440965,58.76,57.87,58.26,58.26,58.6
2020-01-09,485138,58.56,57.36,58.34,58.34,57.88
2020-01-08,530315,57.5,56.91,57.35,57.35,56.91
2020-01-07,343521,57.04,55.84,56.81,56.81,55.97
2020-01-06,328775,57.72,56.41,57.37,57.37,56.76
2020-01-03,282524,57.665,56.8,57.26,57.26,57.36
2020-01-02,492370,58.58,57.275,57.87,57.87,58.58
