date,volume,high,low,adj_close,close,open
2020-01-31,3356768,115.34,112.66,113.81,113.81,115.21
2020-01-30,4018362,116.83,114.74,115.54,115.54,116.48
2020-01-29,1194956,117.98,117.16,117.24,117.24,117.75
2020-01-28,2316863,117.84,116.54,117.32,117.32,117.03
2020-01-27,2542850,116.77,114.54,116.09,116.09,115
2020-01-24,4238587,119.95,116.27,116.88,116.88,119.85
2020-01-23,2816792,120.22,118.46,119.5,119.5,120.16
2020-01-22,1341462,121.66,120.34,120.55,120.55,121
2020-01-21,2639148,121.93,120.54,120.72,120.72,121.7
2020-01-17,1836427,122.84,121.47,121.89,121.89,122.76
2020-01-16,1888941,122.96,121.56,122.35,122.35,122.59
2020-01-15,3543272,122.57,121.01,121.73,121.73,121.1
2020-01-14,3842900,121.62,118.38,121.11,121.11,119.05
2020-01-13,3858351,120.58,118.08,119.16,119.16,120.58
2020-01-10,2186370,121.91,120.375,120.45,120.45,121.2
2020-01-09,1829816,121.63,120.53,121.04,121.04,120.81
2020-01-08,2403534,120.875,118.88,120.22,120.22,119.07
2020-01-07,1706886,119.64,117.96,119.15,119.15,119.16
2020-01-06,2072124,119.18,116.95,119.12,119.12,117.69
2020-01-03,2398539,119.13,117.77,118.36,118.36,118.2
2020-01-02,2839850,121.75,118.94,119.89,119.89,121.3
