date,volume,high,low,adj_close,close,open
2020-01-31,206296,73.71,72.25,72.71,72.71,73.35
2020-01-30,156639,74.08,72.56,74.02,74.02,73.33
2020-01-29,212590,75.1224,73.95,74.01,74.01,74.59
2020-01-28,286752,74.6,73.6,74.19,74.19,74.13
2020-01-27,327375,74.42,73.2,73.87,73.87,73.2
2020-01-24,662641,77.37,74.12,74.93,74.93,76.61
2020-01-23,442660,77.59,76.71,77.05,77.05,77.22
2020-01-22,270026,78.2,76.93,77.74,77.74,77.86
2020-01-21,479755,78.8,77.41,77.54,77.54,77.57
2020-01-17,1004159,78.6,75.66,78.22,78.22,75.98
2020-01-16,348744,75.39,73.84,75.38,75.38,73.89
2020-01-15,273160,74.45,72.97,73.28,73.28,73.91
2020-01-14,188478,74.9,73.19,74.46,74.46,73.43
2020-01-13,266982,73.68,72.83,73.67,73.67,73.52
2020-01-10,294998,73.95,72.93,73.35,73.35,73.26
2020-01-09,313155,73.6,72.85,73.37,73.37,73.26
2020-01-08,202524,73.19,72.1,72.83,72.83,72.1
2020-01-07,303202,72.7769,71.76,72.17,72.17,72.41
2020-01-06,245135,73.3,72.13,73.02,73.02,72.96
2020-01-03,253070,73.95,72.92,73.68,73.68,73.76
2020-01-02,274469,75.06,73.97,74.74,74.74,75.03
