date,volume,high,low,adj_close,close,open
2020-01-31,3745,25.8,25,25.25,25.25,25.3
2020-01-30,1127,25.62,25.19,25.2,25.2,25.62
2020-01-29,9348,25.96,25.43,25.43,25.43,25.86
2020-01-28,4844,25.84,25.6,25.73,25.73,25.84
2020-01-27,7506,26.15,25.55,25.55,25.55,25.6
2020-01-24,17028,26.7,25.012,26.42,26.42,26.7
2020-01-23,15486,27.04,26.55,26.95,26.95,26.8
2020-01-22,5842,27.1,26.61,26.91,26.91,26.98
2020-01-21,5303,26.96,26.5,26.88,26.88,26.7285
2020-01-17,8662,26.87,26.0912,26.84,26.84,26.6
2020-01-16,3440,27,26.2627,27,27,26.87
2020-01-15,3607,27.18,26.66,26.79,26.79,26.66
2020-01-14,8140,26.87,26.23,26.66,26.66,26.49
2020-01-13,11281,26.52,25.9615,26.52,26.52,26.39
2020-01-10,4016,26.49,25.3,26.49,26.49,25.51
2020-01-09,5022,25.65,25.13,25.61,25.61,25.5
2020-01-08,3828,25.5,25.1101,25.31,25.31,25.1101
2020-01-07,23694,25.51,25.045,25.11,25.11,25.43
2020-01-06,1992,25.4,24.875,25.4,25.4,25.1
2020-01-03,6946,25.45,24.95,25.05,25.05,25.29
2020-01-02,12091,26.05,25,25.08,25.08,26.05
