date,volume,high,low,adj_close,close,open
2020-01-31,310199,35.03,33.22,33.39,33.39,34.95
2020-01-30,357408,36.41,34.47,35.3,35.3,34.96
2020-01-29,255868,36.46,34.71,34.79,34.79,35.81
2020-01-28,211240,35.88,34.3787,35.65,35.65,35.4
2020-01-27,260099,36.36,34.61,34.7,34.7,35.5
2020-01-24,220142,37.87,35.92,36.36,36.36,37.68
2020-01-23,294816,37.79,36.82,37.58,37.58,37.7
2020-01-22,227952,38.69,37.46,37.67,37.67,38.37
2020-01-21,260537,38.9652,37.49,37.8,37.8,38.56
2020-01-17,231977,39.68,38.56,38.58,38.58,39.64
2020-01-16,549481,39.63,38.01,39.32,39.32,38.91
2020-01-15,892865,39.55,37.69,38.03,38.03,38.85
2020-01-14,2321916,39.83,34.5,39.79,39.79,35
2020-01-13,273056,31.15,30.372,30.9,30.9,30.75
2020-01-10,196110,31.555,30.575,30.74,30.74,31.47
2020-01-09,281695,32.89,31.25,31.34,31.34,32.89
2020-01-08,204524,33.07,32.37,32.51,32.51,32.8
2020-01-07,257061,32.99,31.87,32.86,32.86,32.68
2020-01-06,201445,33.26,32.37,32.57,32.57,33.1
2020-01-03,205779,33.99,33.1477,33.55,33.55,33.41
2020-01-02,215004,34.165,33.26,34.08,34.08,33.9
