date,volume,high,low,adj_close,close,open
2020-01-31,83884,22.89,22.31,22.37,22.37,22.83
2020-01-30,63684,23.04,22.46,22.95,22.95,22.6
2020-01-29,100286,23.98,22.84,22.88,22.88,23.64
2020-01-28,88817,23.83,23.51,23.53,23.53,23.69
2020-01-27,125290,24.24,23.19,23.54,23.54,23.2
2020-01-24,78804,25.2,23.83,23.89,23.89,25.19
2020-01-23,103837,25.515,24.72,25.28,25.28,24.88
2020-01-22,112877,25.915,25.075,25.125,25.125,25.28
2020-01-21,230194,26.27,25.248,25.95,25.95,26.13
2020-01-17,332967,26.61,24.4121,26.01,26.01,24.43
2020-01-16,551942,25.3,23.285,24.32,24.32,25.3
2020-01-15,139787,21.77,21.38,21.67,21.67,21.47
2020-01-14,65322,21.91,21.42,21.64,21.64,21.47
2020-01-13,85457,21.65,21.2,21.62,21.62,21.3
2020-01-10,75285,21.6,21.24,21.3,21.3,21.35
2020-01-09,87821,21.73,21.28,21.4,21.4,21.36
2020-01-08,67389,21.46,21.16,21.36,21.36,21.23
2020-01-07,56857,21.47,21.085,21.23,21.23,21.38
2020-01-06,52176,21.6,20.99,21.51,21.51,21.31
2020-01-03,114146,21.62,20.91,21.43,21.43,20.91
2020-01-02,64391,21.74,20.95,21.3,21.3,21.72
