date,volume,high,low,adj_close,close,open
2020-01-31,2638088,4.92,4.69,4.725,4.725,4.76
2020-01-30,1872940,5,4.74,4.865,4.865,4.94
2020-01-29,5641034,5.14,4.64,5.015,5.015,4.64
2020-01-28,1714241,4.805,4.5,4.715,4.715,4.61
2020-01-27,1757084,4.685,4.27,4.56,4.56,4.37
2020-01-24,4149591,4.93,4.38,4.4,4.4,4.92
2020-01-23,8949601,5.42,4.37,4.905,4.905,4.43
2020-01-22,890579,4.74,4.52,4.68,4.68,4.7
2020-01-21,1299664,4.77,4.54,4.7,4.7,4.56
2020-01-17,1681262,4.94,4.55,4.56,4.56,4.88
2020-01-16,1461971,5.04,4.76,4.83,4.83,4.95
2020-01-15,2180149,4.95,4.52,4.95,4.95,4.54
2020-01-14,1736434,4.65,4.37,4.59,4.59,4.42
2020-01-13,2120839,4.64,4.35,4.44,4.44,4.71
2020-01-10,1980674,4.94,4.62,4.63,4.63,4.89
2020-01-09,1755584,5.01,4.815,4.87,4.87,4.98
2020-01-08,1299191,4.985,4.8,4.97,4.97,4.93
2020-01-07,1492897,5,4.7,4.93,4.93,4.81
2020-01-06,2178568,4.85,4.49,4.84,4.84,4.57
2020-01-03,1852461,4.77,4.5201,4.63,4.63,4.62
2020-01-02,4042981,5.19,4.5,4.77,4.77,5.17
