date,volume,high,low,adj_close,close,open
2020-01-31,11035,19.95,19.35,19.52,19.52,19.95
2020-01-30,18520,20.17,19.59,19.9,19.9,20.17
2020-01-29,8192,21.67,21.41,21.67,21.67,21.6
2020-01-28,2667,21.47,21.29,21.29,21.29,21.39
2020-01-27,8358,21.35,21.12,21.12,21.12,21.3825
2020-01-24,2546,21.94,21.73,21.73,21.73,21.93
2020-01-23,6025,22.02,21.8483,21.87,21.87,21.99
2020-01-22,4167,22.22,22.02,22.06,22.06,22.1339
2020-01-21,9200,22.29,21.9286,22,22,22.29
2020-01-17,4642,22.63,22.45,22.62,22.62,22.45
2020-01-16,4595,22.72,22.46,22.46,22.46,22.65
2020-01-15,3109,22.7,22.54,22.63,22.63,22.7
2020-01-14,13353,22.8,22.69,22.76,22.76,22.72
2020-01-13,5627,22.85,22.66,22.78,22.78,22.76
2020-01-10,2770,22.72,22.51,22.51,22.51,22.72
2020-01-09,17058,22.95,22.7627,22.88,22.88,22.87
2020-01-08,25711,23.18,21.9,22.81,22.81,21.9
2020-01-07,17229,21.91,21.61,21.88,21.88,21.61
2020-01-06,10242,22.13,22.07,22.1,22.1,22.13
2020-01-03,3997,22.74,22.54,22.54,22.54,22.67
2020-01-02,5590,23.14,22.84,23.09,23.09,22.978
