date,volume,high,low,adj_close,close,open
2020-01-31,1.34687e+07,4.81,4.3,4.53,4.53,4.8
2020-01-30,2.021491e+07,4.88,4.5,4.66,4.66,4.86
2020-01-29,1.074875e+07,4.5499,3.92,4.11,4.11,4.49
2020-01-28,2.36864e+07,5.68,4.2886,4.36,4.36,5.67
2020-01-27,3.96684e+07,5.95,5.1,5.32,5.32,5.6
2020-01-24,2.426029e+07,4.7,4.12,4.24,4.24,4.49
2020-01-23,1.21924e+07,4.1,3.61,3.84,3.84,3.885
2020-01-22,1999240,3.56,3.33,3.44,3.44,3.55
2020-01-21,6204071,3.75,3.39,3.56,3.56,3.52
2020-01-17,683890,3.44,3.23,3.29,3.29,3.44
2020-01-16,730735,3.425,3.32,3.4,3.4,3.4
2020-01-15,970678,3.43,3.23,3.35,3.35,3.3
2020-01-14,1406164,3.435,3.285,3.29,3.29,3.34
2020-01-13,1822455,3.4499,3.07,3.31,3.31,3.14
2020-01-10,653076,3.18,3.09,3.11,3.11,3.18
2020-01-09,1010179,3.185,3.04,3.1,3.1,3.15
2020-01-08,591801,3.19,3.065,3.14,3.14,3.19
2020-01-07,1099856,3.17,3.04,3.15,3.15,3.16
2020-01-06,1062591,3.16,2.95,3.14,3.14,3.02
2020-01-03,1142162,3.25,2.95,2.98,2.98,3.1
2020-01-02,966057,3.39,3.06,3.21,3.21,3.39
