date,volume,high,low,adj_close,close,open
2020-01-31,10045,2.29,2.16,2.28,2.28,2.28
2020-01-30,8976,2.36,2.27,2.28,2.28,2.3585
2020-01-29,3041,2.4,2.35,2.35,2.35,2.4
2020-01-28,1479,2.45,2.4,2.4,2.4,2.4318
2020-01-27,14540,2.46,2.35,2.35,2.35,2.46
2020-01-24,19292,2.51,2.35,2.38,2.38,2.5001
2020-01-23,12476,2.551,2.3887,2.45,2.45,2.3887
2020-01-22,19760,2.59,2.41,2.41,2.41,2.59
2020-01-21,24854,2.75,2.45,2.465,2.465,2.7413
2020-01-17,115667,2.71,2.5326,2.59,2.59,2.55
2020-01-16,46087,2.55,2.402,2.51,2.51,2.43
2020-01-15,15640,2.39,2.34,2.38,2.38,2.3501
2020-01-14,17802,2.419,2.3303,2.35,2.35,2.35
2020-01-13,10235,2.4265,2.3,2.4,2.4,2.37
2020-01-10,35662,2.48,2.3387,2.39,2.39,2.4601
2020-01-09,45695,2.55,2.3648,2.44,2.44,2.55
2020-01-08,111441,2.641,2.4095,2.45,2.45,2.46
2020-01-07,11212,2.49,2.33,2.43,2.43,2.341
2020-01-06,21902,2.4394,2.35,2.35,2.35,2.39
2020-01-03,18412,2.51,2.36,2.45,2.45,2.51
2020-01-02,121508,2.55,2.22,2.4,2.4,2.33
