date,volume,high,low,adj_close,close,open
2020-01-31,1319810,22.84,21.8,22.69,22.69,21.92
2020-01-30,850905,23.35,22.63,22.97,22.97,23.28
2020-01-29,696987,23.92,23.15,23.54,23.54,23.87
2020-01-28,852895,24.18,23.1,23.81,23.81,23.1
2020-01-27,940660,24.1,22.44,23.24,23.24,22.47
2020-01-24,2047105,24.84,23.25,23.61,23.61,24.69
2020-01-23,1158817,25.37,24.48,24.86,24.86,25.12
2020-01-22,1480131,25.83,24.36,25.52,25.52,25.17
2020-01-21,1538806,26.58,25.26,25.43,25.43,26.25
2020-01-17,1316243,27.14,26.15,26.25,26.25,26.64
2020-01-16,1018928,27.19,26.32,26.63,26.63,26.67
2020-01-15,1608958,27.58,26.1209,26.35,26.35,26.86
2020-01-14,1925992,27.36,25.87,26.805,26.805,26.38
2020-01-13,2244324,26.85,25.35,26.73,26.73,26
2020-01-10,2593324,26.43,25.26,25.9,25.9,25.65
2020-01-09,4342451,26.9,25.27,25.43,25.43,26.81
2020-01-08,1.244191e+07,28.25,26.17,26.34,26.34,27.64
2020-01-07,2370718,32.9437,29.68,31,31,29.89
2020-01-06,1366694,30.95,29.6,30.62,30.62,30.2
2020-01-03,1956600,31.965,30.84,31.17,31.17,31.59
2020-01-02,2612703,34.31,31.52,33.12,33.12,34.3
