date,volume,high,low,adj_close,close,open
2020-01-31,8676,27.51,27.233,27.2559,27.2559,27.4901
2020-01-30,11974,27.8159,27.5299,27.8159,27.8159,27.63
2020-01-29,20735,27.96,27.801,27.801,27.801,27.83
2020-01-28,6315,27.9,27.83,27.8619,27.8619,27.84
2020-01-27,34049,27.71,27.64,27.64,27.64,27.66
2020-01-24,19896,28.34,28.02,28.105,28.105,28.34
2020-01-23,26289,28.36,28.2334,28.3525,28.3525,28.1761
2020-01-22,15698,28.45,28.33,28.34,28.34,28.37
2020-01-21,11170,28.51,28.2973,28.51,28.51,28.31
2020-01-17,14493,28.4173,28.3551,28.4173,28.4173,28.3551
2020-01-16,8375,28.358,28.18,28.358,28.358,28.27
2020-01-15,10729,28.19,28.1162,28.1162,28.1162,28.165
2020-01-14,7424,28.175,28.0884,28.0884,28.0884,28.07
2020-01-13,21784,28.07,27.97,28.061,28.061,28.07
2020-01-10,25733,28.06,27.88,27.8987,27.8987,27.88
2020-01-09,6015,27.99,27.87,27.9797,27.9797,27.9442
2020-01-08,11021,27.93,27.78,27.835,27.835,27.78
2020-01-07,27499,27.8,27.7253,27.745,27.745,27.8
2020-01-06,32121,27.78,27.61,27.7763,27.7763,27.61
2020-01-03,6075,27.77,27.55,27.55,27.55,27.75
2020-01-02,8029,28,27.78,27.9,27.9,27.78
