date,volume,high,low,adj_close,close,open
2020-01-31,12358,24.93,24.81,24.93,24.93,24.89
2020-01-30,27120,24.95,24.723,24.9,24.9,24.82
2020-01-29,25800,24.9482,24.7601,24.79,24.79,24.82
2020-01-28,29245,25.01,24.8593,24.91,24.91,24.92
2020-01-27,19147,25,24.7373,24.98,24.98,24.84
2020-01-24,66396,24.85,24.76,24.84,24.84,24.8
2020-01-23,11506,24.84,24.7309,24.84,24.84,24.8
2020-01-22,44213,24.84,24.69,24.73,24.73,24.7
2020-01-21,19346,24.8,24.62,24.6242,24.6242,24.62
2020-01-17,34157,24.82,24.59,24.6,24.6,24.75
2020-01-16,39164,24.85,24.21,24.84,24.84,24.66
2020-01-15,16656,24.65,24.46,24.53,24.53,24.65
2020-01-14,14029,24.75,24.59,24.67,24.67,24.59
2020-01-13,14224,24.6836,24.5,24.66,24.66,24.65
2020-01-10,36758,24.78,24.453,24.48,24.48,24.57
2020-01-09,24410,24.79,24.43,24.69,24.69,24.6
2020-01-08,31258,24.75,24.3726,24.685,24.685,24.65
2020-01-07,16237,24.74,24.6232,24.74,24.74,24.64
2020-01-06,17542,24.7481,24.3729,24.69,24.69,24.51
2020-01-03,35288,24.8,24.5501,24.69,24.69,24.8
2020-01-02,29015,24.7,23.8441,24.53,24.53,23.9
