date,volume,high,low,adj_close,close,open
2020-01-31,91828,38.1775,36.95,37.05,37.05,37.96
2020-01-30,74773,38.07,37.5,38.01,38.01,37.78
2020-01-29,60801,38.64,37.89,37.99,37.99,38.35
2020-01-28,102885,38.77,38.26,38.34,38.34,38.53
2020-01-27,76933,38.605,37.74,38.46,38.46,38.04
2020-01-24,74869,39.08,38.255,38.47,38.47,39.08
2020-01-23,42800,39.18,38.58,38.99,38.99,39.18
2020-01-22,50786,39.52,39.2,39.29,39.29,39.22
2020-01-21,53113,39.62,39.02,39.18,39.18,39.54
2020-01-17,64923,40.11,39.5,39.7,39.7,40.11
2020-01-16,100769,40.4373,39.64,39.96,39.96,39.64
2020-01-15,120984,39.725,39.2,39.47,39.47,39.22
2020-01-14,92306,39.7,39.14,39.415,39.415,39.69
2020-01-13,112981,39.77,39.32,39.74,39.74,39.52
2020-01-10,92630,39.57,38.93,39.43,39.43,39.48
2020-01-09,89961,39.88,39.36,39.375,39.375,39.75
2020-01-08,68225,39.75,39.25,39.56,39.56,39.48
2020-01-07,91479,39.52,38.93,39.36,39.36,39.29
2020-01-06,76977,39.64,39.03,39.49,39.49,39.46
2020-01-03,61025,39.87,39.201,39.64,39.64,39.32
2020-01-02,157672,40.13,38.87,39.7,39.7,39.87
