date,volume,high,low,adj_close,close,open
2020-01-31,134989,48.05,45.75,45.93,45.93,47.21
2020-01-30,59546,47.72,46.58,47.55,47.55,46.81
2020-01-29,92508,48.15,46.72,47.34,47.34,47.51
2020-01-28,59220,48.45,47.22,47.4,47.4,47.84
2020-01-27,95015,48.4754,46.44,47.53,47.53,46.44
2020-01-24,46191,48.4,47.14,47.63,47.63,47.92
2020-01-23,74581,48.69,47.175,47.9,47.9,47.59
2020-01-22,71733,48.99,47.48,47.98,47.98,48.99
2020-01-21,81335,49,47.15,48.41,48.41,47.3
2020-01-17,89070,48.04,46.8776,47.8,47.8,48.04
2020-01-16,110687,48.5,46.25,47.69,47.69,47.43
2020-01-15,97351,47.57,46.5,46.65,46.65,46.9
2020-01-14,124354,47.355,46.16,46.82,46.82,47.3
2020-01-13,73553,48.8,46.01,46.89,46.89,48.5
2020-01-10,153996,48.98,47.52,48.39,48.39,48.71
2020-01-09,141141,48.935,46.86,48.31,48.31,48.06
2020-01-08,95917,48.95,46.91,47.8,47.8,48.95
2020-01-07,130432,51.48,47.8,48.02,48.02,51.48
2020-01-06,153887,49.21,47.36,48.81,48.81,47.5
2020-01-03,66168,47.61,45.15,47.49,47.49,45.93
2020-01-02,134214,47.53,44.81,46.73,46.73,47.53
