date,volume,high,low,adj_close,close,open
2020-01-31,12619,1.19,1.14,1.14,1.14,1.19
2020-01-30,11208,1.2,1.13,1.14,1.14,1.1732
2020-01-29,12251,1.2,1.15,1.15,1.15,1.17
2020-01-28,15336,1.22,1.15,1.22,1.22,1.161
2020-01-27,14351,1.16,1.13,1.15,1.15,1.155
2020-01-24,5621,1.2297,1.19,1.2,1.2,1.1882
2020-01-23,13574,1.2299,1.18,1.21,1.21,1.18
2020-01-22,39627,1.23,1.16,1.17,1.17,1.2001
2020-01-21,73268,1.2596,1.2,1.2,1.2,1.24
2020-01-17,17754,1.26,1.24,1.25,1.25,1.24
2020-01-16,5381,1.28,1.2598,1.2644,1.2644,1.28
2020-01-15,23640,1.31,1.25,1.29,1.29,1.31
2020-01-13,21325,1.3363,1.24,1.26,1.26,1.27
2020-01-10,14511,1.3,1.25,1.3,1.3,1.2654
2020-01-09,35645,1.2994,1.23,1.25,1.25,1.26
2020-01-08,71903,1.37,1.21,1.26,1.26,1.2864
2020-01-07,35701,1.3225,1.24,1.25,1.25,1.3065
2020-01-06,48584,1.3373,1.3,1.3,1.3,1.33
2020-01-03,78017,1.39,1.3,1.33,1.33,1.39
2020-01-02,582760,1.88,1.25,1.31,1.31,1.88
