date,volume,high,low,adj_close,close,open
2020-01-31,2308616,3.21,2.67,3.07,3.07,2.67
2020-01-30,94381,2.93,2.72,2.77,2.77,2.87
2020-01-29,77757,3,2.825,2.87,2.87,2.98
2020-01-28,81429,3.1,2.83,2.94,2.94,3.02
2020-01-27,106960,3.16,2.95,3,3,3.1
2020-01-24,66618,3.21,3.06,3.09,3.09,3.21
2020-01-23,78329,3.27,3.11,3.23,3.23,3.25
2020-01-22,145355,3.58,3.25,3.305,3.305,3.55
2020-01-21,109605,3.5,3.26,3.49,3.49,3.32
2020-01-17,54294,3.47,3.18,3.27,3.27,3.4
2020-01-16,41476,3.41,3.17,3.35,3.35,3.17
2020-01-15,76656,3.21,3,3.15,3.15,3.14
2020-01-14,56744,3.28,3.12,3.14,3.14,3.16
2020-01-13,77783,3.315,3.1035,3.19,3.19,3.25
2020-01-10,190461,3.97,3.18,3.29,3.29,3.8
2020-01-09,50330,4.1,3.78,3.82,3.82,3.9
2020-01-08,136119,4.04,3.71,3.93,3.93,4.04
2020-01-07,118100,4.03,3.7,4,4,3.7
2020-01-06,170003,3.95,3.66,3.735,3.735,3.9
2020-01-03,162741,3.99,3.48,3.91,3.91,3.48
2020-01-02,200074,4.1,3.35,3.575,3.575,4.1
