date,volume,high,low,adj_close,close,open
2020-01-31,34483,20.67,20.58,20.605,20.605,20.67
2020-01-30,25324,20.63,20.58,20.615,20.615,20.58
2020-01-29,58514,20.64,20.5705,20.615,20.615,20.64
2020-01-28,103078,20.62,20.52,20.555,20.555,20.62
2020-01-27,38164,20.68,20.54,20.565,20.565,20.68
2020-01-24,22923,20.59,20.55,20.58,20.58,20.55
2020-01-23,35345,20.65,20.5401,20.565,20.565,20.65
2020-01-22,86372,20.64,20.53,20.555,20.555,20.64
2020-01-21,92958,20.63,20.51,20.51,20.51,20.53
2020-01-17,105758,20.62,20.5501,20.58,20.58,20.5731
2020-01-16,113699,20.62,20.553,20.5704,20.5704,20.61
2020-01-15,75623,20.61,20.5781,20.6008,20.6008,20.6033
2020-01-14,30418,20.6,20.565,20.595,20.595,20.59
2020-01-13,40532,20.5961,20.54,20.595,20.595,20.5899
2020-01-10,64435,20.66,20.5573,20.565,20.565,20.5708
2020-01-09,80973,20.58,20.53,20.57,20.57,20.58
2020-01-08,95641,20.64,20.52,20.58,20.58,20.64
2020-01-07,133380,20.64,20.51,20.5571,20.5571,20.64
2020-01-06,79343,20.61,20.5307,20.57,20.57,20.6
2020-01-03,27718,20.58,20.47,20.51,20.51,20.47
2020-01-02,45603,20.61,20.46,20.53,20.53,20.5047
