date,volume,high,low,adj_close,close,open
2020-01-31,270998,12.19,11.395,11.65,11.65,12.17
2020-01-30,293035,12.42,12.04,12.2,12.2,12.23
2020-01-29,179878,12.865,12.425,12.44,12.44,12.83
2020-01-28,146492,13.39,12.8,12.81,12.81,13.33
2020-01-27,192554,13.75,13.26,13.26,13.26,13.51
2020-01-24,164040,14,13.6087,13.79,13.79,13.99
2020-01-23,162519,14.27,13.78,13.93,13.93,14.27
2020-01-22,160367,14.83,14.12,14.41,14.41,14.83
2020-01-21,170914,14.97,14.225,14.83,14.83,14.56
2020-01-17,190928,15.1476,14.205,14.67,14.67,14.96
2020-01-16,172763,15.65,14.87,14.91,14.91,15.58
2020-01-15,190992,16.08,15.23,15.45,15.45,15.99
2020-01-14,284896,15.98,15.37,15.94,15.94,15.5
2020-01-13,211110,15.54,14.67,15.52,15.52,15.13
2020-01-10,196885,15.38,14.89,15.12,15.12,15.23
2020-01-09,347667,15.88,14.78,15.31,15.31,15.73
2020-01-08,258923,16.12,15.675,15.74,15.74,15.74
2020-01-07,238291,15.91,15.36,15.76,15.76,15.39
2020-01-06,229132,15.52,15.09,15.47,15.47,15.17
2020-01-03,374601,15.81,15.06,15.4,15.4,15.39
2020-01-02,469945,17.07,15.19,15.6,15.6,17.05
