date,volume,high,low,adj_close,close,open
2020-01-31,2186,7.354,7.29,7.3,7.3,7.354
2020-01-30,4544,7.5,7.1,7.1,7.1,7.45
2020-01-28,628,7.48,7.43,7.48,7.48,7.44
2020-01-27,9532,7.6189,7.2002,7.21,7.21,7.47
2020-01-24,570,7.69,7.6815,7.69,7.69,7.6815
2020-01-23,1336,7.74,7.72,7.74,7.74,7.72
2020-01-22,578,7.75,7.59,7.75,7.75,7.59
2020-01-21,887,7.65,7.46,7.65,7.65,7.5547
2020-01-17,6664,7.94,7.4812,7.55,7.55,7.94
2020-01-16,2223,7.95,7.83,7.95,7.95,7.45
2020-01-15,4308,7.8,7.4578,7.53,7.53,7.4578
2020-01-14,6823,7.7,7.44,7.5,7.5,7.4401
2020-01-13,4869,7.7004,7.431,7.431,7.431,7.45
2020-01-10,4037,7.61,7.3066,7.31,7.31,7.3066
2020-01-09,1768,7.84,7.21,7.7,7.7,7.21
2020-01-08,5503,7.9695,7.7,7.9,7.9,7.7
2020-01-07,7171,7.83,7.4213,7.75,7.75,7.73
2020-01-06,12213,7.8978,7.26,7.41,7.41,7.42
2020-01-03,8061,7.99,7.1722,7.2,7.2,7.4
2020-01-02,5668,7.75,7.38,7.4,7.4,7.21
