date,volume,high,low,adj_close,close,open
2020-01-31,159182,36.585,35.22,35.985,35.985,35.61
2020-01-30,89922,35.96,35.14,35.68,35.68,35.54
2020-01-29,58585,36.783,35.64,35.72,35.72,36.73
2020-01-28,46452,37.42,36.555,36.71,36.71,36.89
2020-01-27,64227,37.045,35.6,36.75,36.75,36
2020-01-24,50487,36.77,36.25,36.48,36.48,36.77
2020-01-23,112905,37.304,36.41,36.67,36.67,36.88
2020-01-22,60538,37.25,36.58,36.81,36.81,37.08
2020-01-21,81816,37.29,36.5523,36.95,36.95,36.74
2020-01-17,87369,37.29,36.75,36.87,36.87,37
2020-01-16,161384,37.81,36.77,37,37,37.72
2020-01-15,56221,38.145,36.97,37.6,37.6,37.6
2020-01-14,72619,38.51,37.67,37.76,37.76,38.3
2020-01-13,129917,38.6,37.32,38.46,38.46,37.32
2020-01-10,61764,37.5,36.87,37.39,37.39,37.13
2020-01-09,137713,37.5,37.18,37.2,37.2,37.3
2020-01-08,114610,37.25,36.28,37.01,37.01,36.71
2020-01-07,141177,36.75,36.1,36.72,36.72,36.28
2020-01-06,72121,36.38,35.875,36.35,36.35,35.96
2020-01-03,93407,36.26,35.165,36.19,36.19,35.42
2020-01-02,74341,36.17,35.35,35.8,35.8,36.17
