date,volume,high,low,adj_close,close,open
2020-01-31,971121,80.375,77.81,78.28,78.28,79.97
2020-01-30,1186869,84.75,80.17,80.9,80.9,83.57
2020-01-29,2107488,85.21,81.82,84.53,84.53,83.95
2020-01-28,4046088,92.52,82.41,84.07,84.07,91.3
2020-01-27,476690,93.88,89.87,91.5,91.5,90.89
2020-01-24,302464,94.11,91.56,91.99,91.99,93.78
2020-01-23,341301,94.85,93.34,93.56,93.56,94.81
2020-01-22,368119,97.99,95.1,95.43,95.43,97.32
2020-01-21,333817,97.97,96.64,96.81,96.81,97.09
2020-01-17,516134,97.76,95.03,97.51,97.51,96.31
2020-01-16,345674,97.24,95.44,96.17,96.17,95.83
2020-01-15,460094,95.755,94.17,95.35,95.35,94.21
2020-01-14,403046,94.39,92.9,93.93,93.93,94
2020-01-13,342708,94.6,93.345,93.93,93.93,94.04
2020-01-10,445249,95.67,93.61,93.76,93.76,95.67
2020-01-09,386994,96.84,95.15,95.33,95.33,96.84
2020-01-08,305677,98.415,96.09,96.34,96.34,97.46
2020-01-07,376716,98.68,97.02,97.38,97.38,97.41
2020-01-06,420290,97.83,95.5,97.61,97.61,96.4
2020-01-03,531172,98.14,95.47,97.13,97.13,95.79
2020-01-02,926077,96.764,94.845,96.36,96.36,96.76
