date,volume,high,low,adj_close,close,open
2020-01-31,327606,1.94,1.82,1.91,1.91,1.82
2020-01-30,167126,1.94,1.8192,1.87,1.87,1.92
2020-01-29,344741,1.95,1.75,1.91,1.91,1.75
2020-01-28,245182,1.86,1.73,1.78,1.78,1.81
2020-01-27,395577,1.9994,1.76,1.83,1.83,1.82
2020-01-24,740278,2.09,1.83,1.9,1.9,2.05
2020-01-23,6185007,2.46,1.85,2,2,2
2020-01-22,315644,1.9,1.75,1.79,1.79,1.83
2020-01-21,438918,1.95,1.8056,1.87,1.87,1.81
2020-01-17,566845,1.82,1.56,1.78,1.78,1.56
2020-01-16,306138,1.62,1.52,1.56,1.56,1.57
2020-01-15,230444,1.7,1.56,1.6,1.6,1.63
2020-01-14,200951,1.79,1.6,1.67,1.67,1.7
2020-01-13,477306,1.95,1.63,1.7,1.7,1.88
2020-01-10,998550,2.05,1.75,1.84,1.84,2
2020-01-09,971080,1.96,1.68,1.95,1.95,1.71
2020-01-08,887049,1.85,1.6,1.76,1.76,1.6
2020-01-07,1026954,1.89,1.5693,1.68,1.68,1.85
2020-01-06,2535647,1.9,1.48,1.87,1.87,1.54
2020-01-03,1.680365e+07,1.95,1.32,1.61,1.61,1.44
2020-01-02,196636,1.12,1.02,1.055,1.055,1.1
