date,volume,high,low,adj_close,close,open
2020-01-31,114697,4.1103,3.82,3.82,3.82,4.04
2020-01-30,89882,4.18,4.02,4.02,4.02,4.15
2020-01-29,138618,4.29,4.1395,4.19,4.19,4.16
2020-01-28,79573,4.2199,4.0545,4.16,4.16,4.15
2020-01-27,85006,4.2101,4.07,4.13,4.13,4.15
2020-01-24,176648,4.41,4.1399,4.2,4.2,4.34
2020-01-23,219034,4.37,3.86,4.25,4.25,3.9
2020-01-22,49660,3.87,3.7237,3.84,3.84,3.76
2020-01-21,22803,3.87,3.75,3.77,3.77,3.76
2020-01-17,24804,3.83,3.69,3.76,3.76,3.76
2020-01-16,54760,3.7751,3.642,3.75,3.75,3.69
2020-01-15,19947,3.7199,3.66,3.66,3.66,3.7043
2020-01-14,56318,3.76,3.65,3.69,3.69,3.71
2020-01-13,109031,3.9289,3.67,3.7,3.7,3.92
2020-01-10,102066,3.92,3.8,3.92,3.92,3.83
2020-01-09,71488,3.97,3.8,3.81,3.81,3.95
2020-01-08,39007,3.99,3.9419,3.97,3.97,3.97
2020-01-07,64224,3.98,3.82,3.98,3.98,3.87
2020-01-06,116590,3.9289,3.82,3.88,3.88,3.89
2020-01-03,139967,3.96,3.66,3.91,3.91,3.75
2020-01-02,69730,3.75,3.56,3.72,3.72,3.56
