date,volume,high,low,adj_close,close,open
2020-01-31,780486,3.23,3.03,3.09,3.09,3.23
2020-01-30,988155,3.22,3.11,3.2,3.2,3.18
2020-01-29,445937,3.4,3.21,3.23,3.23,3.32
2020-01-28,672459,3.42,3.24,3.35,3.35,3.27
2020-01-27,678674,3.4,3.24,3.265,3.265,3.3
2020-01-24,1287035,3.49,3.27,3.36,3.36,3.49
2020-01-23,1306552,3.79,3.44,3.445,3.445,3.77
2020-01-22,1355174,4.14,3.75,3.77,3.77,4.02
2020-01-21,675647,4.175,3.99,4.05,4.05,4.01
2020-01-17,907105,4.3,3.99,4.04,4.04,4.26
2020-01-16,707381,4.47,4.175,4.24,4.24,4.35
2020-01-15,773482,4.36,4.15,4.26,4.26,4.16
2020-01-14,1022159,4.35,4.05,4.16,4.16,4.3
2020-01-13,1105461,4.3,3.905,4.28,4.28,4.02
2020-01-10,713891,4.2,4,4.03,4.03,4.12
2020-01-09,652906,4.14,3.97,4.09,4.09,4.04
2020-01-08,643355,4.06,3.95,4.02,4.02,3.95
2020-01-07,752799,4.039,3.85,3.98,3.98,3.96
2020-01-06,739084,4.03,3.81,3.96,3.96,3.89
2020-01-03,991942,4.09,3.86,3.94,3.94,4.05
2020-01-02,1296261,4.165,3.91,4.09,4.09,4.15
