date,volume,high,low,adj_close,close,open
2020-01-31,9213,4.0785,3.9499,4,4,3.89
2020-01-30,3117,4.013,3.9,3.9,3.9,4.013
2020-01-29,6758,3.96,3.87,3.87,3.87,3.88
2020-01-28,42494,3.98,3.87,3.88,3.88,3.87
2020-01-27,3532,4.0965,3.97,3.97,3.97,4.03
2020-01-24,19651,4.14,3.88,4.03,4.03,3.99
2020-01-23,4222,4.034,4,4.02,4.02,4.034
2020-01-22,17318,4.03,3.94,3.94,3.94,4.09
2020-01-21,11019,4.0634,3.9703,3.99,3.99,4.06
2020-01-17,7753,4.2,3.95,4.2,4.2,4.04
2020-01-16,10962,3.99,3.89,3.96,3.96,3.9
2020-01-15,166196,4,3.83,3.9459,3.9459,3.98
2020-01-14,7146,4.0299,3.94,3.97,3.97,4.0141
2020-01-13,13869,4.1598,4,4,4,4.11
2020-01-10,5384,4.3,4.11,4.14,4.14,4.12
2020-01-09,25210,4.1574,4.02,4.14,4.14,4.12
2020-01-08,41996,4.3,3.99,4.06,4.06,4.3
2020-01-07,30352,4.37,4.11,4.34,4.34,4
2020-01-06,123996,4.1,3.85,4.01,4.01,3.86
2020-01-03,26029,3.91,3.79,3.87,3.87,3.79
2020-01-02,15740,3.85,3.76,3.85,3.85,3.77
