date,volume,high,low,adj_close,close,open
2020-01-31,1597257,142.25,138.95,140.06,140.06,142.15
2020-01-30,1649856,143.54,138.83,143.31,143.31,140.535
2020-01-29,1244325,143.235,140.38,142.61,142.61,141.5
2020-01-28,1771986,141.79,138.325,141.25,141.25,138.71
2020-01-27,2564527,139.63,133.39,138,138,137.73
2020-01-24,2019625,145.02,139.84,141.02,141.02,144.97
2020-01-23,1766213,145.05,141.25,144.96,144.96,142.43
2020-01-22,1173802,147.192,143.76,144.12,144.12,145
2020-01-21,2281327,148.44,143.437,144.37,144.37,148.08
2020-01-17,700817,150.61,148.07,150.26,150.26,149.19
2020-01-16,763876,149.04,147.97,149.02,149.02,147.98
2020-01-15,748389,148.15,146.65,147.3,147.3,146.77
2020-01-14,868830,147.63,146.13,147.15,147.15,146.41
2020-01-13,909889,146.98,145.54,146.8,146.8,145.76
2020-01-10,821046,146.57,145.09,145.39,145.39,146.2
2020-01-09,1045366,147.48,146.2,146.45,146.45,147.46
2020-01-08,1129861,147.62,144.79,146.73,146.73,145.13
2020-01-07,1903497,147.22,144.7,144.94,144.94,146.74
2020-01-06,2057102,147.98,146.24,147.34,147.34,147.9
2020-01-03,1646055,150.02,148.74,149.27,149.27,149.19
2020-01-02,1503910,152.6,151.24,151.49,151.49,151.5
