date,volume,high,low,adj_close,close,open
2020-01-31,3631099,14.72,14.29,14.63,14.63,14.54
2020-01-30,2092950,14.64,14.22,14.6,14.6,14.42
2020-01-29,2400519,14.83,14.48,14.52,14.52,14.68
2020-01-28,3904979,14.8,14.31,14.51,14.51,14.31
2020-01-27,2131590,14.26,13.95,14.12,14.12,13.97
2020-01-24,2014043,14.53,14.21,14.28,14.28,14.5
2020-01-23,2365031,14.54,14.105,14.445,14.445,14.3
2020-01-22,1521707,14.56,14.363,14.39,14.39,14.43
2020-01-21,2642686,14.41,14,14.35,14.35,14.11
2020-01-17,3758770,14.29,13.94,14.28,14.28,14.06
2020-01-16,3785454,14.4546,13.97,14.01,14.01,14.14
2020-01-15,6969844,14.295,13.59,14,14,14.29
2020-01-14,3411003,14.74,14.29,14.68,14.68,14.35
2020-01-13,2437259,14.46,13.921,14.43,14.43,14.11
2020-01-10,2176818,14.39,13.979,14.07,14.07,14.31
2020-01-09,2450677,14.31,13.99,14.26,14.26,14.12
2020-01-08,3234910,14.47,14.1,14.13,14.13,14.15
2020-01-07,8180591,14.39,14.07,14.18,14.18,14.09
2020-01-06,3353452,14.08,13.285,14.07,14.07,13.27
2020-01-03,2737453,13.48,13.07,13.48,13.48,13.22
2020-01-02,3179861,13.71,13.135,13.295,13.295,13.68
