date,volume,high,low,adj_close,close,open
2020-01-31,529299,39.9,34.93,37.32,37.32,37.72
2020-01-30,74348,38.7278,37.64,37.95,37.95,38.2
2020-01-29,91892,38.98,38.39,38.52,38.52,38.98
2020-01-28,100059,39.32,38.55,38.795,38.795,38.77
2020-01-27,80981,38.64,37.1,38.45,38.45,37.1
2020-01-24,141467,39.71,37.5806,37.95,37.95,39.29
2020-01-23,127299,39.42,38.95,39.295,39.295,39.35
2020-01-22,110547,40.1,39.36,39.4,39.4,39.92
2020-01-21,117576,40.16,39.505,39.81,39.81,39.93
2020-01-17,128327,40.36,39.73,40.02,40.02,40.27
2020-01-16,116878,40.15,38.44,39.99,39.99,38.44
2020-01-15,77136,38.33,37.25,38.29,38.29,37.25
2020-01-14,104561,37.8686,37.2,37.44,37.44,37.29
2020-01-13,71234,37.55,36.41,37.5,37.5,36.41
2020-01-10,98010,37.09,36.45,36.51,36.51,37.05
2020-01-09,63533,37.42,37.13,37.16,37.16,37.3
2020-01-08,109159,37.27,36.81,37.19,37.19,37.15
2020-01-07,70613,37.61,37.07,37.11,37.11,37.61
2020-01-06,100930,38.07,37.515,37.93,37.93,37.99
2020-01-03,138737,38.37,37.64,38.335,38.335,37.64
2020-01-02,83949,38.48,37.73,38.3,38.3,38.48
