date,volume,high,low,adj_close,close,open
2020-01-31,3834,25.63,24.525,25.16,25.16,25.63
2020-01-30,3628,25.65,25.13,25.51,25.51,25.62
2020-01-29,3792,25.65,24.51,25.65,25.65,25.2
2020-01-28,11416,25.4303,24.31,25.3,25.3,24.44
2020-01-27,6202,25.45,24.62,24.62,24.62,25.34
2020-01-24,5768,26,25.645,25.94,25.94,26
2020-01-23,6607,26.1,25.65,25.66,25.66,26
2020-01-22,3342,26,25.5032,26,26,25.71
2020-01-21,4097,25.88,25.56,25.74,25.74,25.7604
2020-01-17,4749,25.64,25.344,25.64,25.64,25.36
2020-01-16,3027,25.55,25.31,25.48,25.48,25.5
2020-01-15,4458,25.98,25.4,25.44,25.44,25.98
2020-01-14,2849,25.99,25.31,25.4,25.4,25.8265
2020-01-13,5092,26.185,25.31,25.89,25.89,25.4
2020-01-10,3017,25.5,25.3987,25.41,25.41,25.4
2020-01-09,2442,25.66,25.31,25.4,25.4,25.66
2020-01-08,4300,26.095,24.05,25.41,25.41,25.5
2020-01-07,2242,26.42,25.895,26.12,26.12,26.47
2020-01-06,1883,26.4709,26.1,26.24,26.24,26.4709
2020-01-03,1092,27.7259,26.5,26.5,26.5,27.7259
2020-01-02,732,26.7,26.33,26.45,26.45,26.51
