date,volume,high,low,adj_close,close,open
2020-01-31,3439898,100.945,96.93,97.48,97.48,100.6
2020-01-30,2249626,102.09,99.65,101.56,101.56,101.56
2020-01-29,1622486,104.96,102.4,102.46,102.46,104.33
2020-01-28,1731367,105.14,103.58,104.2,104.2,104.15
2020-01-27,2410478,104.48,102.33,102.98,102.98,102.875
2020-01-24,2446444,111.37,106.29,107.22,107.22,111.32
2020-01-23,1493603,110.44,108.46,110.26,110.26,109.74
2020-01-22,1278691,110.97,108.8,109.34,109.34,109.77
2020-01-21,1730038,109.645,108.49,109.24,109.24,109
2020-01-17,2194520,109.96,108.12,109.41,109.41,109.08
2020-01-16,2222550,109.34,107.5,108.82,108.82,108.35
2020-01-15,6046122,109.4,106.93,107.58,107.58,109.26
2020-01-14,3085470,112.47,109.87,110.12,110.12,110.63
2020-01-13,2196969,111.7,110.57,111.21,111.21,111.25
2020-01-10,2643904,111.15,109.34,110.83,110.83,110.6
2020-01-09,2057519,110.64,108.295,110.32,110.32,110.39
2020-01-08,2097611,110.76,108.83,109.29,109.29,110.6
2020-01-07,6214525,110.79,106.87,110.69,110.69,107.9
2020-01-06,1542440,104.23,103.01,103.73,103.73,103.66
2020-01-03,9723238,106.849,104.86,105.24,105.24,105.4
2020-01-02,2605768,108.09,105.21,107.6,107.6,106.03
