date,volume,high,low,adj_close,close,open
2020-01-31,1.243696e+07,59.425,57.155,57.38,57.38,58.47
2020-01-30,1.709864e+07,58.93,55.88,58.8,58.8,56.02
2020-01-29,4741193,55,54.5,54.56,54.56,54.88
2020-01-28,5156668,55.125,54.56,54.85,54.85,54.56
2020-01-27,4532420,55.15,54.585,54.69,54.69,54.87
2020-01-24,5060468,55.735,54.8625,55.09,55.09,55.53
2020-01-23,4521201,55.6468,55.11,55.44,55.44,55.35
2020-01-22,4301274,55.94,55.45,55.46,55.46,55.74
2020-01-21,8176544,55.84,54.84,55.54,55.54,54.96
2020-01-17,8241352,55.38,55.02,55.16,55.16,55.14
2020-01-16,4588531,55.34,54.8,55.19,55.19,54.83
2020-01-15,4939012,54.98,54.31,54.74,54.74,54.53
2020-01-14,4670629,54.665,54.06,54.19,54.19,54.63
2020-01-13,3832687,54.605,54.3161,54.59,54.59,54.36
2020-01-10,3157932,54.48,54.14,54.25,54.25,54.47
2020-01-09,3220193,54.37,53.93,54.19,54.19,54.09
2020-01-08,5173585,54.42,53.9164,54.05,54.05,54.03
2020-01-07,6240067,54.08,53.57,53.92,53.92,54.05
2020-01-06,4239307,54.48,53.86,54.15,54.15,54.39
2020-01-03,5086449,54.57,53.96,54.24,54.24,54
2020-01-02,4793156,55.33,54.115,54.33,54.33,55.06
