date,volume,high,low,adj_close,close,open
2020-01-31,1472345,5.43,5.29,5.33,5.33,5.38
2020-01-30,550006,5.51,5.34,5.51,5.51,5.48
2020-01-29,446846,5.575,5.47,5.53,5.53,5.52
2020-01-28,787580,5.68,5.4626,5.51,5.51,5.63
2020-01-27,920172,5.795,5.45,5.6,5.6,5.55
2020-01-24,1581457,6.1,5.63,5.67,5.67,5.91
2020-01-23,981952,5.93,5.56,5.885,5.885,5.67
2020-01-22,1031641,5.735,5.45,5.68,5.68,5.56
2020-01-21,1159988,5.82,5.48,5.56,5.56,5.81
2020-01-17,1779980,5.86,5.68,5.77,5.77,5.7
2020-01-16,953081,5.67,5.395,5.65,5.65,5.48
2020-01-15,885807,5.53,5.36,5.445,5.445,5.47
2020-01-14,900965,5.52,5.3071,5.45,5.45,5.41
2020-01-13,996029,5.39,5.09,5.3,5.3,5.14
2020-01-10,384785,5.21,5.13,5.13,5.13,5.21
2020-01-09,417727,5.21,5.11,5.16,5.16,5.15
2020-01-08,570699,5.185,5.09,5.13,5.13,5.1
2020-01-07,569272,5.18,5.09,5.11,5.11,5.1
2020-01-06,853263,5.155,5.01,5.11,5.11,5.1
2020-01-03,525201,5.155,5.06,5.1,5.1,5.1
2020-01-02,806973,5.1,4.97,5.07,5.07,5.04
