date,volume,high,low,adj_close,close,open
2020-01-31,238271,9.73,9.17,9.25,9.25,9.64
2020-01-30,237030,9.97,9.64,9.7,9.7,9.85
2020-01-29,197892,10.51,9.91,9.96,9.96,10.5
2020-01-28,246061,10.55,10.23,10.43,10.43,10.34
2020-01-27,152238,10.75,10.24,10.245,10.245,10.58
2020-01-24,342148,11.48,10.65,10.8,10.8,11.46
2020-01-23,302949,11.8,11.21,11.4,11.4,11.73
2020-01-22,267351,12.5,11.72,11.74,11.74,12.21
2020-01-21,504734,12.23,11.58,12.11,12.11,11.58
2020-01-17,397133,11.85,11.2,11.26,11.26,11.66
2020-01-16,390702,11.94,11.36,11.59,11.59,11.85
2020-01-15,451561,12.17,11.71,11.72,11.72,11.94
2020-01-14,488936,11.99,11.27,11.905,11.905,11.47
2020-01-13,931190,11.58,10.59,11.54,11.54,11.12
2020-01-10,1080891,11.64,10.88,11.06,11.06,11.21
2020-01-09,356555,11.39,11.03,11.375,11.375,11.05
2020-01-08,302232,11.04,10.53,10.94,10.94,10.59
2020-01-07,554618,10.79,10.49,10.57,10.57,10.66
2020-01-06,376926,10.885,10.555,10.74,10.74,10.66
2020-01-03,310293,10.99,10.51,10.94,10.94,10.52
2020-01-02,473345,11,10.42,10.78,10.78,11
