date,volume,high,low,adj_close,close,open
2020-01-31,111509,81.13,76.76,77.32,77.32,81.13
2020-01-30,96332,81.555,80.01,81.4,81.4,80.01
2020-01-29,148624,81.31,78.74,80.53,80.53,79.01
2020-01-28,105830,79.295,78.175,79,79,78.3
2020-01-27,70886,78.14,76.34,77.93,77.93,76.34
2020-01-24,59711,77.45,76.65,77.45,77.45,77.36
2020-01-23,87899,77.79,76.22,77.37,77.37,76.75
2020-01-22,93572,78.4685,76.52,76.95,76.95,78.31
2020-01-21,72087,78.49,76.7778,78.03,78.03,77.58
2020-01-17,81342,78.93,77.775,77.94,77.94,78.93
2020-01-16,102829,79.95,77.82,78.67,78.67,79.62
2020-01-15,111672,81,79.31,79.81,79.81,79.31
2020-01-14,109930,79.645,78.12,79.49,79.49,78.48
2020-01-13,84667,78.87,77.23,78.72,78.72,77.62
2020-01-10,65459,78.85,77.27,77.53,77.53,78.1
2020-01-09,101350,79.86,77.775,78.04,78.04,78.16
2020-01-08,89826,78.19,76.57,78,78,77.23
2020-01-07,75103,77.22,76.24,77.21,77.21,76.85
2020-01-06,81088,77.595,76.3,77.07,77.07,76.5
2020-01-03,91356,76.96,76.0101,76.91,76.91,76.09
2020-01-02,124193,77.205,75.75,76.59,76.59,76.82
