date,volume,high,low,adj_close,close,open
2020-01-31,136019,18.55,17.14,18.11,18.11,18.3
2020-01-30,67880,18.46,17.71,18.32,18.32,17.78
2020-01-29,167055,18.11,17.175,18.01,18.01,17.42
2020-01-28,167173,17.93,16.892,17.4,17.4,17.91
2020-01-27,96520,18.05,17.28,17.71,17.71,17.56
2020-01-24,121408,19.01,18,18.19,18.19,19.01
2020-01-23,82434,19.34,18.7755,19.04,19.04,19.13
2020-01-22,97517,19.83,18.83,19.3,19.3,19.25
2020-01-21,99686,20.4648,19.08,19.25,19.25,20.38
2020-01-17,108138,21.34,20.22,20.38,20.38,20.83
2020-01-16,95775,20.79,20.2,20.62,20.62,20.39
2020-01-15,96812,20.35,19.62,20.12,20.12,20.05
2020-01-14,132079,20.5096,19.41,20.1,20.1,19.87
2020-01-13,113365,20.32,19.24,19.97,19.97,19.69
2020-01-10,127365,20.73,19.33,19.41,19.41,20.71
2020-01-09,92379,21.09,20.375,20.64,20.64,20.44
2020-01-08,111223,20.775,19.9401,20.3,20.3,20.31
2020-01-07,98647,20.765,19.59,20.27,20.27,20.08
2020-01-06,156320,20.1,18.84,20.02,20.02,19.32
2020-01-03,57857,19.93,19.2,19.61,19.61,19.44
2020-01-02,171473,20.3,19.31,19.72,19.72,20.3
