date,volume,high,low,adj_close,close,open
2020-01-31,5164,24.7,24.1,24.4,24.4,24.4
2020-01-30,798,24.8151,24.4,24.45,24.45,24.4
2020-01-29,1683,24.7,24.405,24.45,24.45,24.6365
2020-01-28,2666,24.8866,24.5217,24.62,24.62,24.638
2020-01-27,3147,24.57,24.41,24.57,24.57,24.5
2020-01-24,3096,24.6243,24.5222,24.5532,24.5532,24.6243
2020-01-23,705,24.59,24.51,24.5206,24.5206,24.59
2020-01-22,2948,24.65,24.5075,24.63,24.63,24.5075
2020-01-21,5231,24.64,24.4867,24.64,24.64,24.49
2020-01-17,6844,24.5,24.3677,24.4,24.4,24.46
2020-01-16,4827,24.63,24.46,24.46,24.46,24.5
2020-01-15,3441,25.17,24.465,24.65,24.65,24.8712
2020-01-14,8217,24.93,24.3,24.5,24.5,24.75
2020-01-13,25445,25.7974,24.33,25.55,25.55,25.05
2020-01-10,9483,24.65,24.25,24.56,24.56,24.26
2020-01-09,7501,24.2,23.9503,24,24,24
2020-01-08,4295,24.14,23.94,23.94,23.94,24.12
2020-01-07,7597,24.1183,23.9443,24,24,23.96
2020-01-06,13698,24.1,23.92,23.92,23.92,24
2020-01-03,17831,24.1,23.9,24.04,24.04,23.9533
2020-01-02,21658,23.94,23.8804,23.94,23.94,23.9108
