date,volume,high,low,adj_close,close,open
2020-01-31,3461,24.9787,24,24,24,24.4713
2020-01-30,2353,25.38,24.1,24.8,24.8,25.0381
2020-01-29,12811,26.75,23.7503,25.68,25.68,26.36
2020-01-28,1701,27.71,27.2,27.2,27.2,27.39
2020-01-27,1638,28.01,27.46,27.46,27.46,27.55
2020-01-24,2651,27.77,27.5,27.76,27.76,27.68
2020-01-23,3787,27.88,27.1579,27.52,27.52,27.1579
2020-01-22,3125,28.4199,27.95,28.06,28.06,27.97
2020-01-21,6890,28.27,27.77,28.06,28.06,28.27
2020-01-17,4008,28.24,28.18,28.2,28.2,28.24
2020-01-16,8695,28,27.9,28,28,28
2020-01-15,7110,28.28,27.8,27.93,27.93,28.23
2020-01-14,78111,28.54,28.2,28.33,28.33,28.47
2020-01-13,8767,28.82,27.92,28.63,28.63,28.82
2020-01-10,3858,28.52,28.2,28.34,28.34,28.52
2020-01-09,2635,28.39,28.28,28.28,28.28,28.6
2020-01-08,18757,28.54,28.0045,28.16,28.16,28.12
2020-01-07,7907,28.5,27.96,28.39,28.39,28.42
2020-01-06,5154,28.7,28.25,28.7,28.7,28.25
2020-01-03,3097,28.49,28.15,28.49,28.49,28.5
2020-01-02,1626,29.01,28.47,28.47,28.47,28.97
