date,volume,high,low,adj_close,close,open
2020-01-31,1954,1.45,1.41,1.45,1.45,1.44
2020-01-30,10915,1.53,1.3996,1.44,1.44,1.4
2020-01-29,35919,1.41,1.3273,1.4,1.4,1.4059
2020-01-28,5023,1.41,1.3902,1.41,1.41,1.4
2020-01-27,9462,1.41,1.37,1.4,1.4,1.37
2020-01-24,13073,1.52,1.43,1.45,1.45,1.4886
2020-01-23,4670,1.55,1.45,1.45,1.45,1.51
2020-01-22,44823,1.55,1.481,1.51,1.51,1.5
2020-01-21,41617,1.66,1.47,1.5,1.5,1.66
2020-01-17,7890,1.7,1.66,1.66,1.66,1.7199
2020-01-16,33536,1.72,1.57,1.63,1.63,1.72
2020-01-15,8828,1.74,1.6,1.6,1.6,1.74
2020-01-14,14002,1.7186,1.5801,1.68,1.68,1.6
2020-01-13,6911,1.6514,1.49,1.54,1.54,1.45
2020-01-10,54814,1.6514,1.49,1.6,1.6,1.52
2020-01-09,18266,1.61,1.46,1.57,1.57,1.493
2020-01-08,31864,1.58,1.41,1.48,1.48,1.52
2020-01-07,11808,1.59,1.4975,1.53,1.53,1.55
2020-01-06,22229,1.52,1.39,1.45,1.45,1.39
2020-01-03,10610,1.51,1.42,1.42,1.42,1.44
2020-01-02,13601,1.47,1.38,1.44,1.44,1.4264
