date,volume,high,low,adj_close,close,open
2020-01-31,536895,15.31,13.87,14.94,14.94,13.87
2020-01-30,152711,14.32,13.74,13.93,13.93,14.06
2020-01-29,252620,14.2496,13.87,14.18,14.18,14
2020-01-28,174043,14.11,13.37,13.95,13.95,13.56
2020-01-27,154190,13.88,12.89,13.45,13.45,13.18
2020-01-24,305084,14.45,13.04,13.55,13.55,14.45
2020-01-23,410412,14.5,13.52,14.37,14.37,13.71
2020-01-22,256852,14.65,13.46,13.81,13.81,14.62
2020-01-21,414192,14.79,13.4,14.45,14.45,13.66
2020-01-17,213331,14.37,13.58,13.71,13.71,14.07
2020-01-16,154379,14.21,13.72,13.97,13.97,13.83
2020-01-15,122281,14.26,13.51,13.76,13.76,13.74
2020-01-14,390391,14.37,12.94,13.75,13.75,14.32
2020-01-13,477303,15.05,13.12,14.38,14.38,13.82
2020-01-10,254909,14.75,13.76,13.81,13.81,14.72
2020-01-09,490156,14.95,13.9,14.72,14.72,14.12
2020-01-08,275446,14.11,13.285,13.97,13.97,13.5
2020-01-07,356991,13.63,12.57,13.515,13.515,13
2020-01-06,270099,13.53,12.99,13.09,13.09,13.53
2020-01-03,321207,13.859,13.44,13.63,13.63,13.64
2020-01-02,493356,14.25,13.17,13.84,13.84,14.06
