date,volume,high,low,adj_close,close,open
2020-01-31,30017,5.15,4.5,4.6,4.6,5.15
2020-01-30,11165,5.33,4.98,5.07,5.07,5.21
2020-01-29,14017,5.36,5.21,5.21,5.21,5.36
2020-01-28,7904,5.525,5.2,5.4,5.4,5.3
2020-01-27,6819,5.49,5.3,5.31,5.31,5.4
2020-01-24,4662,5.53,5.38,5.47,5.47,5.38
2020-01-23,7489,5.535,5.41,5.41,5.41,5.5
2020-01-22,29446,5.7,5.5,5.5,5.5,5.582
2020-01-21,10494,5.82,5.55,5.71,5.71,5.6
2020-01-17,23349,5.77,5.4,5.65,5.65,5.71
2020-01-16,26938,5.875,5.7,5.71,5.71,5.9
2020-01-15,27472,5.79,5.16,5.61,5.61,5.79
2020-01-13,25867,5.67,5.35,5.435,5.435,5.5841
2020-01-10,564,5.77,5.41,5.41,5.41,5.6755
2020-01-09,11405,5.73,5.6,5.73,5.73,5.6001
2020-01-08,27997,5.73,5.34,5.6,5.6,5.73
2020-01-07,18375,5.875,5.46,5.73,5.73,5.49
2020-01-06,9643,5.61,4.995,5.61,5.61,5.46
2020-01-03,14339,5.67,5.46,5.65,5.65,5.51
2020-01-02,17256,6.12,5.5501,5.56,5.56,5.89
