date,volume,high,low,adj_close,close,open
2020-01-31,281721,6.99,6.48,6.59,6.59,6.82
2020-01-30,167453,6.97,6.82,6.88,6.88,6.93
2020-01-29,127970,7.15,6.87,6.91,6.91,7.14
2020-01-28,125590,7.26,7.09,7.11,7.11,7.22
2020-01-27,129990,7.39,7.15,7.2,7.2,7.34
2020-01-24,127679,7.73,7.35,7.46,7.46,7.73
2020-01-23,151812,8.07,7.615,7.7,7.7,8.07
2020-01-22,373803,8.3,7.97,7.995,7.995,8.26
2020-01-21,147037,8.66,8.24,8.27,8.27,8.66
2020-01-17,363962,8.92,8.49,8.67,8.67,8.92
2020-01-16,454516,9.17,8.83,8.89,8.89,9.02
2020-01-15,145265,9.28,8.87,8.94,8.94,9.14
2020-01-14,126155,9.34,9.07,9.17,9.17,9.16
2020-01-13,459437,9.22,8.91,9.19,9.19,9.07
2020-01-10,147165,8.92,8.79,8.86,8.86,8.92
2020-01-09,72189,9.01,8.76,8.97,8.97,8.8
2020-01-08,270643,8.94,8.7,8.82,8.82,8.94
2020-01-07,106465,9,8.6,8.86,8.86,8.93
2020-01-06,198542,9,8.78,8.955,8.955,8.78
2020-01-03,136512,8.945,8.76,8.82,8.82,8.9
2020-01-02,128299,9.22,8.72,8.92,8.92,9.17
