date,volume,high,low,adj_close,close,open
2020-01-31,757,25.71,25.68,25.71,25.71,25.7
2020-01-30,2734,25.7199,25.7199,25.7199,25.7199,25.6
2020-01-29,5070,25.72,25.51,25.69,25.69,25.7
2020-01-28,3261,25.7,25.62,25.62,25.62,25.6
2020-01-27,1670,25.7189,25.51,25.51,25.51,25.6518
2020-01-24,1600,25.74,25.6,25.74,25.74,25.6
2020-01-23,134,25.64,25.64,25.64,25.64,25.77
2020-01-22,5317,25.813,25.57,25.57,25.57,25.77
2020-01-21,900,25.79,25.77,25.79,25.79,25.6
2020-01-16,1420,25.81,25.8052,25.81,25.81,25.8
2020-01-15,1100,25.82,25.8,25.8,25.8,25.8
2020-01-13,2315,25.73,25.69,25.72,25.72,25.6
2020-01-10,5540,25.9,25.68,25.68,25.68,26.04
2020-01-09,985,26.04,25.8,25.8,25.8,26.04
2020-01-08,200,26.0093,26.0093,26.0093,26.0093,25.88
2020-01-07,7444,26.35,25.75,25.853,25.853,26.27
2020-01-06,1290,26.39,26,26.29,26.29,25.89
2020-01-03,2034,26.9257,25.87,26.1,26.1,25.7
2020-01-02,1040,25.7,25.7,25.7,25.7,25.7
