date,volume,high,low,adj_close,close,open
2020-01-31,3140,26.02,25.93,25.93,25.93,26.02
2020-01-30,938,26.09,26.0364,26.09,26.09,26.12
2020-01-29,4156,26.27,25.9,26.125,26.125,26.26
2020-01-28,14283,26.3475,26,26.25,26.25,26
2020-01-27,4929,25.996,25.9086,25.98,25.98,25.9332
2020-01-24,3626,26.1079,25.92,26.1,26.1,25.93
2020-01-23,2505,26.24,26.0056,26.24,26.24,26.0056
2020-01-22,3106,26.1,25.93,26,26,26.1
2020-01-21,5012,26.24,26.0226,26.1,26.1,26.24
2020-01-17,18926,26.5,25.946,26.25,26.25,26.04
2020-01-16,5612,26.04,25.965,26,26,26.04
2020-01-15,1278,26.0483,25.95,25.95,25.95,25.95
2020-01-13,1119,26.48,26.4498,26.4498,26.4498,26.48
2020-01-10,1755,26.45,26.2,26.45,26.45,26.21
2020-01-09,1885,26.45,26.3515,26.45,26.45,26.44
2020-01-08,2649,26.2,26.08,26.08,26.08,26.2
2020-01-07,4947,26.5,26.03,26.47,26.47,26.35
2020-01-06,1870,26.32,26.01,26.01,26.01,26.1942
2020-01-03,3204,26.35,26.02,26.35,26.35,26.1
2020-01-02,3354,26.01,25.99,26.01,26.01,25.99
