date,volume,high,low,adj_close,close,open
2020-01-31,1,10.03,10.02,10.07,10.07,10.02
2020-01-29,301410,10.03,10.02,10.03,10.03,10.02
2020-01-28,70002,10.02,10.02,10.02,10.02,10.02
2020-01-27,6203,10.01,10.0097,10.01,10.01,10.0097
2020-01-22,300,10.0396,10.0396,10.0396,10.0396,10.02
2020-01-21,3351,10.02,10,10,10,10.02
2020-01-17,1330,10.01,10,10,10,10.01
2020-01-16,200007,10.04,10,10.04,10.04,10
2020-01-13,296,10.1,10.03,10.1,10.1,10.03
2020-01-10,7253,10.02,10.02,10.02,10.02,10.02
2020-01-09,52001,10.02,9.98,9.99,9.99,9.99
2020-01-08,1,9.98,9.98,9.98,9.98,9.9998
2020-01-07,91637,10,9.98,9.98,9.98,9.9998
2020-01-06,2,9.98,9.96,10.05,10.05,9.96
2020-01-03,267996,9.98,9.96,9.96,9.96,9.96
2020-01-02,9,10,10,10,10,9.92
