date,volume,high,low,adj_close,close,open
2020-01-31,4491981,347.39,341,345.09,345.09,347.39
2020-01-30,4498382,348.2,339.31,347.74,347.74,341.1
2020-01-29,7315172,349.4,338.555,343.16,343.16,349
2020-01-28,6181375,352.38,342.78,348.52,348.52,345.88
2020-01-27,7071030,351.9,341.043,342.88,342.88,345.95
2020-01-24,1.714997e+07,359.84,345.9,353.16,353.16,348.46
2020-01-23,1.699228e+07,349.87,325.01,349.6,349.6,326.04
2020-01-22,2.128539e+07,336.29,323.615,326,326,332.55
2020-01-21,9889376,340.25,332.595,338.11,338.11,340
2020-01-17,4117202,341.56,337.38,339.67,339.67,341
2020-01-16,4717264,343.555,335.91,338.62,338.62,343.5
2020-01-15,4771368,343.147,336.6,339.07,339.07,338.68
2020-01-14,7018979,345.38,335.52,338.69,338.69,344.4
2020-01-13,6026988,340.85,331.51,338.92,338.92,331.8
2020-01-10,4251088,338.47,327.271,329.05,329.05,337.13
2020-01-09,4179837,343.4,334.611,335.66,335.66,342
2020-01-08,6634456,342.7,331.185,339.26,339.26,331.49
2020-01-07,4137930,336.7,330.31,330.75,330.75,336.47
2020-01-06,5425338,336.36,321.27,335.83,335.83,323.12
2020-01-03,3459164,329.81,325.85,325.9,325.9,326.78
2020-01-02,4118951,329.98,324.78,329.81,329.81,326.1
