date,volume,high,low,adj_close,close,open
2020-01-31,14274,25.37,25.28,25.31,25.31,25.3564
2020-01-30,3815,25.36,25.35,25.36,25.36,25.36
2020-01-29,12810,25.36,25.32,25.35,25.35,25.3219
2020-01-28,10198,25.3132,25.2656,25.3,25.3,25.3123
2020-01-27,6171,25.34,25.3,25.34,25.34,25.3253
2020-01-24,11431,25.35,25.3007,25.35,25.35,25.34
2020-01-23,17013,25.43,25.3248,25.33,25.33,25.34
2020-01-22,8846,25.42,25.39,25.39,25.39,25.3994
2020-01-21,9150,25.49,25.38,25.38,25.38,25.41
2020-01-17,10025,25.49,25.41,25.49,25.49,25.42
2020-01-16,10754,25.5,25.35,25.43,25.43,25.48
2020-01-15,14599,25.52,25.33,25.33,25.33,25.52
2020-01-14,4482,25.38,25.3304,25.35,25.35,25.3723
2020-01-13,14894,25.38,25.3467,25.35,25.35,25.37
2020-01-10,9044,25.3799,25.24,25.37,25.37,25.24
2020-01-09,9569,25.37,25.25,25.36,25.36,25.26
2020-01-08,18385,25.31,25.229,25.26,25.26,25.24
2020-01-07,13455,25.28,25.13,25.25,25.25,25.2093
2020-01-06,16792,25.2751,25.15,25.1787,25.1787,25.23
2020-01-03,33278,25.44,25.13,25.23,25.23,25.13
2020-01-02,10477,25.4383,25.2001,25.34,25.34,25.1501
