date,volume,high,low,adj_close,close,open
2020-01-31,164689,26.18,25.68,25.72,25.72,26.04
2020-01-30,192336,26.155,25.4,26.13,26.13,25.9
2020-01-29,221344,27.09,26.18,26.21,26.21,26.95
2020-01-28,199713,27.01,26.45,26.86,26.86,26.75
2020-01-27,214688,26.93,26.1865,26.65,26.65,26.29
2020-01-24,137293,27.2,26.38,26.68,26.68,27.14
2020-01-23,151197,27.07,26.19,26.99,26.99,26.54
2020-01-22,146364,26.7,26.01,26.58,26.58,26.27
2020-01-21,190640,26.5,25.93,26.13,26.13,26.5
2020-01-17,238174,26.7,26.12,26.62,26.62,26.5
2020-01-16,99061,26.9,26.5,26.63,26.63,26.52
2020-01-15,268926,27.08,26.17,26.36,26.36,26.56
2020-01-14,362994,26.86,26.15,26.6,26.6,26.17
2020-01-13,340995,26.42,25.575,26.32,26.32,25.69
2020-01-10,264612,25.6,25.07,25.59,25.59,25.07
2020-01-09,247591,25.66,25.05,25.06,25.06,25.52
2020-01-08,252450,25.86,25.29,25.36,25.36,25.42
2020-01-07,201991,25.62,25.32,25.49,25.49,25.33
2020-01-06,308084,25.44,24.61,25.32,25.32,24.61
2020-01-03,224652,24.91,24.56,24.81,24.81,24.56
2020-01-02,272658,25.06,24.54,24.94,24.94,24.8
