date,volume,high,low,adj_close,close,open
2020-01-31,215073,23.52,23.23,23.26,23.26,23.52
2020-01-30,230769,23.68,23.33,23.68,23.68,23.45
2020-01-29,455504,24.195,23.46,23.58,23.58,24.03
2020-01-28,180628,24.79,23.95,24.12,24.12,24.79
2020-01-27,130185,24.715,24.23,24.6,24.6,24.39
2020-01-24,122911,24.8,24.4,24.655,24.655,24.8
2020-01-23,167737,24.87,24.56,24.8,24.8,24.77
2020-01-22,127434,24.96,24.68,24.85,24.85,24.96
2020-01-21,142118,25.02,24.81,24.87,24.87,24.96
2020-01-17,101884,25.35,25.03,25.06,25.06,25.25
2020-01-16,140207,25.29,25.13,25.27,25.27,25.15
2020-01-15,154080,25.14,24.87,25.03,25.03,25.14
2020-01-14,188769,25.3241,25.03,25.06,25.06,25.22
2020-01-13,238354,25.35,25,25.33,25.33,25.12
2020-01-10,660339,25.5,24.75,25.01,25.01,25.39
2020-01-09,333449,25.46,25.25,25.45,25.45,25.3
2020-01-08,217969,25.28,24.96,25.19,25.19,25
2020-01-07,250401,25.13,24.46,25.08,25.08,25.01
2020-01-06,291235,25.12,24.84,25.11,25.11,25
2020-01-03,258342,25.17,24.8,25.08,25.08,24.99
2020-01-02,329529,25.52,24.92,25.22,25.22,25.52
