date,volume,high,low,adj_close,close,open
2020-01-31,87812,8.28,8.17,8.2,8.2,8.23
2020-01-30,59952,8.27,8.2,8.23,8.23,8.2004
2020-01-29,36644,8.26,8.21,8.25,8.25,8.21
2020-01-28,77222,8.3,8.2,8.22,8.22,8.3
2020-01-27,20897,8.28,8.21,8.23,8.23,8.21
2020-01-24,26483,8.31,8.26,8.3,8.3,8.29
2020-01-23,84632,8.3596,8.26,8.26,8.26,8.35
2020-01-22,57047,8.35,8.3,8.3,8.3,8.33
2020-01-21,51860,8.36,8.3,8.345,8.345,8.35
2020-01-17,11798,8.38,8.33,8.35,8.35,8.36
2020-01-16,27176,8.39,8.31,8.34,8.34,8.33
2020-01-15,42079,8.36,8.3,8.32,8.32,8.34
2020-01-14,68091,8.36,8.29,8.31,8.31,8.31
2020-01-13,52954,8.4,8.29,8.34,8.34,8.34
2020-01-10,40615,8.35,8.2526,8.33,8.33,8.31
2020-01-09,26881,8.29,8.23,8.28,8.28,8.262
2020-01-08,35547,8.289,8.22,8.25,8.25,8.22
2020-01-07,40573,8.28,8.215,8.28,8.28,8.23
2020-01-06,33884,8.25,8.2,8.25,8.25,8.24
2020-01-03,28458,8.28,8.2,8.23,8.23,8.26
2020-01-02,19086,8.26,8.2,8.26,8.26,8.2292
