date,volume,high,low,adj_close,close,open
2020-01-31,289686,4.42,4.31,4.36,4.36,4.37
2020-01-30,313253,4.42,4.23,4.39,4.39,4.33
2020-01-29,179219,4.47,4.38,4.39,4.39,4.43
2020-01-28,286781,4.45,4.3078,4.42,4.42,4.34
2020-01-27,474469,4.47,4.27,4.3,4.3,4.42
2020-01-24,924545,4.86,4.455,4.52,4.52,4.7
2020-01-23,411346,4.89,4.63,4.69,4.69,4.89
2020-01-22,648198,5.113,4.71,4.79,4.79,5.11
2020-01-21,1797112,5.23,4.63,5.08,5.08,4.63
2020-01-17,809253,4.77,4.61,4.63,4.63,4.64
2020-01-16,426078,4.65,4.48,4.6,4.6,4.55
2020-01-15,356002,4.575,4.43,4.53,4.53,4.45
2020-01-14,548272,4.63,4.38,4.46,4.46,4.4
2020-01-13,245953,4.47,4.3335,4.44,4.44,4.44
2020-01-10,288649,4.51,4.37,4.43,4.43,4.43
2020-01-09,254569,4.48,4.3,4.41,4.41,4.45
2020-01-08,387843,4.565,4.27,4.41,4.41,4.46
2020-01-07,605862,4.54,4.37,4.5,4.5,4.5
2020-01-06,1078826,4.7299,4.22,4.52,4.52,4.29
2020-01-03,1493041,4.62,3.96,4.35,4.35,4.04
2020-01-02,506486,4.015,3.89,3.95,3.95,3.99
