date,volume,high,low,adj_close,close,open
2020-01-31,7,26.22,26.22,26.22,26.22,26.2
2020-01-30,11,26.26,26.22,26.26,26.26,26.2
2020-01-27,200,26.2,26.06,26.2,26.2,26.2
2020-01-24,541,27.11,26.1,27.11,27.11,26.51
2020-01-23,6,26.14,26.07,26.14,26.14,25.9698
2020-01-22,152,27.1,26.06,27.1,27.1,25.9698
2020-01-21,366,25.9698,25.9698,25.9698,25.9698,25.9698
2020-01-17,3211,27.24,27.22,27.24,27.24,26.9891
2020-01-16,460,27.23,27.0413,27.23,27.23,27.0413
2020-01-15,1645,27.24,26.53,26.53,26.53,27.24
2020-01-14,649,26.87,26.73,26.85,26.85,25.78
2020-01-13,23,26.82,26.02,26.02,26.02,27
2020-01-08,99,27.19,26.8,27.19,27.19,27
2020-01-07,441,27,26.55,26.55,26.55,26.87
2020-01-06,2,26.21,26.21,26.21,26.21,26.87
2020-01-03,404,27,26.2,26.2,26.2,26.87
2020-01-02,2163,27,26.5,27,27,26.9973
