date,volume,high,low,adj_close,close,open
2020-01-31,5824,106.93,105.128,105.4,105.4,106.96
2020-01-30,8111,108.82,106.063,107.26,107.26,106.75
2020-01-29,6634,109.15,106.67,107.62,107.62,107.525
2020-01-28,1592,108.8,108.65,108.8,108.8,108.45
2020-01-27,2986,109.14,107.6,108.13,108.13,108.7
2020-01-24,4198,111.29,110.1,110.18,110.18,111.29
2020-01-23,8855,111.495,108.981,111.25,111.25,109.5
2020-01-22,5722,110.29,108.602,109.33,109.33,110.22
2020-01-21,8872,110.99,108.56,110.11,110.11,109.45
2020-01-17,5109,109.75,109,109,109,109.75
2020-01-16,7804,109.7,108.91,109.3,109.3,109.44
2020-01-15,8994,109,107.5,108.59,108.59,108.05
2020-01-14,9946,110.12,107.6,107.88,107.88,108.99
2020-01-13,16753,109.23,106.3,109.23,109.23,108.61
2020-01-10,10840,108.38,106.53,108.25,108.25,108.1
2020-01-09,13252,108.945,106.291,107.8,107.8,108.43
2020-01-08,7532,109.35,107.9,108.58,108.58,108.3
2020-01-07,11158,109.96,108.3,108.3,108.3,108.57
2020-01-06,11382,110.97,107.498,109.35,109.35,107.498
2020-01-03,18565,110.48,105.27,110.3,110.3,107.02
2020-01-02,17181,108,106.77,108,108,107.98
