date,volume,high,low,adj_close,close,open
2020-01-31,1214,25.32,25.15,25.15,25.15,25.28
2020-01-30,424,25.27,25.1806,25.27,25.27,25.28
2020-01-29,2678,25.3,25.12,25.25,25.25,25.5
2020-01-28,1982,25.3,25.26,25.28,25.28,25.28
2020-01-27,2300,25.29,25.1003,25.29,25.29,25.2466
2020-01-24,2442,25.3,25.2466,25.3,25.3,25.2648
2020-01-23,2490,25.3,25.2208,25.3,25.3,25.2648
2020-01-22,1699,25.3,25.2,25.25,25.25,25.5
2020-01-21,4,25.19,25.19,25.19,25.19,25.5
2020-01-17,629,25.25,25.1812,25.19,25.19,25.5
2020-01-16,1239,25.27,25.1678,25.27,25.27,25.13
2020-01-15,1251,25.2739,25.13,25.2739,25.2739,25.13
2020-01-13,2680,25.6073,25.56,25.58,25.58,25.5
2020-01-10,2092,25.7201,25.5501,25.59,25.59,25.5
2020-01-09,2731,26,25.52,26,26,25.5473
2020-01-08,772,25.6,25.51,25.6,25.6,25.6
2020-01-07,1103,25.6,25.5,25.6,25.6,25.4845
2020-01-06,2098,25.57,25.35,25.55,25.55,25.4845
2020-01-03,2863,25.568,25.25,25.5,25.5,25.2902
2020-01-02,7066,25.37,25.21,25.32,25.32,25.25
