date,volume,high,low,adj_close,close,open
2020-01-31,1014736,2.66,2.385,2.62,2.62,2.62
2020-01-30,920551,2.72,2.56,2.67,2.67,2.6
2020-01-29,1847943,2.94,2.4701,2.55,2.55,2.94
2020-01-28,1636313,3.23,2.87,2.97,2.97,3.14
2020-01-27,1450680,3.36,3,3.14,3.14,3.31
2020-01-24,1435096,3.6,3.18,3.27,3.27,3.54
2020-01-23,1179525,3.59,3.28,3.46,3.46,3.36
2020-01-22,1856666,3.62,3.15,3.35,3.35,3.62
2020-01-21,3046877,3.71,3.06,3.55,3.55,3.2
2020-01-17,1175078,3.36,3.051,3.1,3.1,3.24
2020-01-16,1648117,3.2965,2.92,3.18,3.18,3.05
2020-01-15,1708300,3.17,2.9,3.1,3.1,3.13
2020-01-14,2112954,3.59,2.84,2.87,2.87,3.47
2020-01-13,1836536,4.1,3.385,3.51,3.51,4.09
2020-01-10,969014,4.0678,3.8202,3.96,3.96,4.02
2020-01-09,3076052,4.4374,3.81,4,4,3.9
2020-01-08,1186903,3.99,3.7,3.77,3.77,3.8
2020-01-07,1896073,4.47,3.86,4,4,4.28
2020-01-06,3375915,4.56,3.69,4.28,4.28,3.75
2020-01-03,1422772,4,3.5101,3.69,3.69,3.65
2020-01-02,5029042,4.81,3.2804,3.95,3.95,4.51
