date,volume,high,low,adj_close,close,open
2020-01-31,100168,4.696,4.25,4.47,4.47,4.653
2020-01-30,27416,4.88,4.6,4.71,4.71,4.71
2020-01-29,23988,4.81,4.66,4.73,4.73,4.7959
2020-01-28,48413,4.78,4.6418,4.75,4.75,4.7
2020-01-27,43865,4.79,4.65,4.67,4.67,4.74
2020-01-24,37307,4.98,4.82,4.84,4.84,4.98
2020-01-23,26831,5.09,4.92,4.96,4.96,5.0637
2020-01-22,69617,5.2,4.866,5.01,5.01,4.92
2020-01-21,127033,5.29,4.7,4.94,4.94,5.29
2020-01-17,57752,5.4131,5.27,5.29,5.29,5.37
2020-01-16,75058,5.385,5.0503,5.31,5.31,5.2
2020-01-15,76857,5.33,5.07,5.2,5.2,5.1
2020-01-14,72940,5.22,5,5.08,5.08,5
2020-01-13,115950,5.1096,4.84,5,5,5.01
2020-01-10,150207,5.08,4.76,4.78,4.78,4.91
2020-01-09,62328,4.9212,4.8,4.84,4.84,4.91
2020-01-08,59479,4.94,4.47,4.88,4.88,4.47
2020-01-07,63200,4.59,4.32,4.48,4.48,4.45
2020-01-06,136153,4.6,4.34,4.48,4.48,4.57
2020-01-03,81681,4.79,4.56,4.58,4.58,4.71
2020-01-02,83373,4.8959,4.7,4.78,4.78,4.85
