date,volume,high,low,adj_close,close,open
2020-01-31,24677,2.75,2.6329,2.7,2.7,2.68
2020-01-30,48165,2.77,2.5919,2.7,2.7,2.68
2020-01-29,152130,2.8,2.56,2.74,2.74,2.6
2020-01-28,73735,2.82,2.62,2.71,2.71,2.82
2020-01-27,185703,2.81,2.51,2.79,2.79,2.57
2020-01-24,380678,2.98,2.7,2.75,2.75,2.95
2020-01-23,812179,2.99,2.34,2.89,2.89,2.55
2020-01-22,4360146,3.01,2.48,2.58,2.58,2.75
2020-01-21,21831,2.06,1.97,2.05,2.05,2.06
2020-01-17,22867,2.08,1.9721,2.05,2.05,2.08
2020-01-16,17174,2.08,2.03,2.03,2.03,2.04
2020-01-15,21339,2.055,2.0011,2.03,2.03,2.0011
2020-01-14,12210,2.05,2,2.02,2.02,2.0235
2020-01-13,19343,2.05,1.99,2.05,2.05,2
2020-01-10,14542,2.05,1.93,2.05,2.05,2.004
2020-01-09,13239,2.0574,2.01,2.05,2.05,2.0449
2020-01-08,13003,2.11,2.01,2.01,2.01,2.105
2020-01-07,40741,2.19,2.1,2.12,2.12,2.1
2020-01-06,21732,2.17,2.08,2.08,2.08,2.11
2020-01-03,23104,2.1986,2.11,2.15,2.15,2.19
2020-01-02,20876,2.219,2.02,2.165,2.165,2.04
