date,volume,high,low,adj_close,close,open
2020-01-31,630776,15.16,14.81,15.01,15.01,14.9
2020-01-30,705357,15.09,14.69,14.835,14.835,15.08
2020-01-29,853262,15.38,14.95,15.05,15.05,15.38
2020-01-28,194846,15.475,15.16,15.38,15.38,15.19
2020-01-27,442373,15.4,14.96,15.14,15.14,15.28
2020-01-24,750894,16.1,15.44,15.46,15.46,15.87
2020-01-23,521636,15.95,15.57,15.93,15.93,15.69
2020-01-22,750159,15.84,15.61,15.71,15.71,15.69
2020-01-21,417997,16,15.64,15.67,15.67,15.91
2020-01-17,369696,16.18,15.89,16,16,16.18
2020-01-16,243181,16.47,16.05,16.09,16.09,16.3
2020-01-15,877274,16.38,16.14,16.23,16.23,16.14
2020-01-13,998374,16.78,16.33,16.39,16.39,16.49
2020-01-10,617370,16.63,16.29,16.54,16.54,16.41
2020-01-09,227012,16.96,16.66,16.72,16.72,16.92
2020-01-08,343073,16.9892,16.68,16.84,16.84,16.8
2020-01-07,326180,16.895,16.61,16.7,16.7,16.66
2020-01-06,433103,16.96,16.52,16.75,16.75,16.73
2020-01-03,210203,17.01,16.66,16.81,16.81,16.72
2020-01-02,364284,17.06,16.67,16.77,16.77,16.94
