date,volume,high,low,adj_close,close,open
2020-01-31,34799,33.5,31.29,31.5,31.5,32.06
2020-01-30,56750,33.1938,29.4,31.94,31.94,32.55
2020-01-29,117885,33.5,30.1076,32.66,32.66,30.55
2020-01-28,165321,35.9,30.17,30.82,30.82,34.95
2020-01-27,144331,37.59,33.05,34.66,34.66,34.42
2020-01-24,64214,35.822,33.01,34.43,34.43,35.2
2020-01-23,113451,35.9,29.02,35.15,35.15,29.93
2020-01-22,56895,30.15,28.1,30.04,30.04,28.43
2020-01-21,89924,28.44,25.91,28.38,28.38,26.19
2020-01-17,126063,27.29,24.74,26.27,26.27,24.74
2020-01-16,102941,26,24.25,24.74,24.74,25.53
2020-01-15,119341,27.56,25.36,25.41,25.41,26.51
2020-01-13,173254,31.4,27.5,28.04,28.04,28.01
2020-01-10,139423,27.8,26.3,26.78,26.78,26.73
2020-01-09,65318,27.5,26.63,26.68,26.68,26.9
2020-01-08,91583,27.8,26.15,26.84,26.84,27.5
2020-01-07,159322,28.6,26.203,27.48,27.48,27.44
2020-01-06,235212,28.3,25.92,27.13,27.13,25.92
2020-01-03,55813,26.2,23,25.86,25.86,23.51
2020-01-02,60108,24.76,23.2426,23.65,23.65,24.35
