date,volume,high,low,adj_close,close,open
2020-01-31,1081173,27.9,27.06,27.18,27.18,27.72
2020-01-30,1021381,28.13,27.1,28.11,28.11,27.4
2020-01-29,657803,28.14,27.61,27.61,27.61,27.9
2020-01-28,642385,28,27.51,27.85,27.85,27.78
2020-01-27,970756,27.79,26.81,27.59,27.59,27
2020-01-24,1011240,28.15,27.31,27.63,27.63,27.98
2020-01-23,1057402,28.17,27.51,28.08,28.08,28.07
2020-01-22,917602,29.04,28.04,28.11,28.11,29
2020-01-21,1069297,29.18,28.62,28.85,28.85,29.01
2020-01-17,2169923,30.81,29.115,29.25,29.25,30.81
2020-01-16,1063999,30.82,30.09,30.81,30.81,30.1
2020-01-15,1061229,30.62,29.8875,30.04,30.04,30.4
2020-01-14,691070,30.845,30.41,30.615,30.615,30.73
2020-01-13,740377,30.76,30.23,30.72,30.72,30.51
2020-01-10,760884,30.95,30.33,30.44,30.44,30.93
2020-01-09,697512,30.85,30.4,30.455,30.455,30.81
2020-01-08,401983,30.8,30.46,30.64,30.64,30.46
2020-01-07,608672,30.82,30.38,30.46,30.46,30.57
2020-01-06,720864,30.75,30.09,30.55,30.55,30.26
2020-01-03,458934,30.75,30.11,30.62,30.62,30.52
2020-01-02,473064,30.87,30.36,30.8,30.8,30.84
