date,volume,high,low,adj_close,close,open
2020-01-31,6344,18,17.61,17.61,17.61,17.81
2020-01-30,6496,18,17.86,18,18,17.86
2020-01-29,4042,17.99,17.87,17.99,17.99,17.9346
2020-01-28,9447,18.075,17.95,18,18,18
2020-01-27,3788,18.5156,17.75,17.75,17.75,17.9557
2020-01-24,3948,18.2482,17.85,18,18,17.955
2020-01-23,1121,18.02,17.8716,17.9,17.9,17.8716
2020-01-22,5264,18.14,17.8185,18.04,18.04,18.12
2020-01-21,2753,18.1,17.79,17.95,17.95,17.79
2020-01-17,5291,18,17.61,17.61,17.61,18
2020-01-16,2030,17.9,17.82,17.82,17.82,17.9
2020-01-15,3680,17.9,17.64,17.78,17.78,17.64
2020-01-14,6022,17.8,17.5,17.6,17.6,17.8
2020-01-13,5150,18.05,17.61,17.83,17.83,17.83
2020-01-10,3678,18.14,17.6,17.76,17.76,17.98
2020-01-09,1294,18.15,18,18,18,18
2020-01-08,2428,18.1434,17.93,18.05,18.05,18.08
2020-01-07,2460,18.32,18.05,18.05,18.05,18.23
2020-01-06,5494,18.575,18.17,18.19,18.19,18.25
2020-01-03,5012,18.485,18.3,18.42,18.42,18.48
2020-01-02,625,18.52,18.42,18.42,18.42,18.54
