date,volume,high,low,adj_close,close,open
2020-01-31,871811,8.03,7.8,7.86,7.86,8.01
2020-01-30,949996,8.58,7.97,8.1,8.1,8.41
2020-01-29,811385,8.61,8.21,8.5,8.5,8.38
2020-01-28,1064571,8.445,7.975,8.335,8.335,8.17
2020-01-27,1303852,8.37,7.7662,8.05,8.05,7.85
2020-01-24,1709980,9.09,8.0369,8.1,8.1,8.95
2020-01-23,890384,9.11,8.55,8.82,8.82,9
2020-01-22,1803816,10.22,9.08,9.13,9.13,9.8
2020-01-21,2878112,10.73,9.5,9.79,9.79,9.56
2020-01-17,3197666,9.8562,8.9,9.73,9.73,8.95
2020-01-16,2245125,9.08,8.37,8.895,8.895,8.37
2020-01-15,1404577,8.79,8.29,8.36,8.36,8.41
2020-01-14,1884996,8.37,7.6,8.34,8.34,7.75
2020-01-13,2526546,8.865,7.62,7.71,7.71,8.8
2020-01-10,1760275,9.27,8.4,8.42,8.42,8.72
2020-01-09,1799391,8.96,8.05,8.69,8.69,8.18
2020-01-08,1171986,8.22,7.89,8.14,8.14,8.21
2020-01-07,1152440,8.29,7.81,8.21,8.21,8.01
2020-01-06,1482933,8.37,7.84,8.06,8.06,8.25
2020-01-03,744095,8.42,8.16,8.35,8.35,8.3
2020-01-02,886239,8.86,8.32,8.43,8.43,8.86
