date,volume,high,low,adj_close,close,open
2020-01-31,2947908,75.51,73.87,74.21,74.21,75.47
2020-01-30,1897560,76.15,74.98,76.06,76.06,75.51
2020-01-29,2355883,78.08,75.97,76.11,76.11,77.23
2020-01-28,3057238,77.54,74.97,76.77,76.77,76.34
2020-01-27,2260477,75.86,74.85,75.165,75.165,75.32
2020-01-24,1342558,77.2575,76.23,76.79,76.79,77.23
2020-01-23,846342,77.75,75.69,77.6,77.6,76.72
2020-01-22,810012,77.9,76.825,76.94,76.94,77.87
2020-01-21,1018612,78.48,77.29,77.54,77.54,78.48
2020-01-17,1472883,79.24,78.24,78.52,78.52,78.79
2020-01-16,1241747,78.57,77.47,78.56,78.56,77.91
2020-01-15,1366260,78.035,77.26,77.46,77.46,77.89
2020-01-14,1232687,78.98,78.05,78.2,78.2,78.71
2020-01-13,776155,78.1186,77.4,78.06,78.06,77.92
2020-01-10,722955,78.74,77.73,77.81,77.81,78.57
2020-01-09,1660022,79.16,77.58,78.45,78.45,78.84
2020-01-08,1739277,79.205,77.25,78.96,78.96,78.24
2020-01-07,1545812,78.105,77.28,77.92,77.92,77.81
2020-01-06,1458580,78.52,77.42,78.44,78.44,78.27
2020-01-03,1552266,78.83,77.665,78.73,78.73,78.31
2020-01-02,1100048,79.66,78.63,79.51,79.51,79.19
